Order - Number,Date - Order Date,Market - Store Name,Market - Market Order URL,Market - Markeplace Name,Amount - Shipping Cost,Amount - Order Shipping,Amount - Paid by Customer,Amount - Order Subtotal,Amount - Order Tax,Amount - Order Total,Count - Number of Items,Custom - Field 1
4044101346,5/1/2026 12:11:14 AM,Lumina Custom Design,,Etsy,6.58,9.14,31.49,19.76,2.31,31.21,2,
4044098032,5/1/2026 12:03:30 AM,Woodmark Custom,,Etsy,13.48,13.48,27.05,12.59,0.98,27.05,1,
4044098182,5/1/2026 12:03:48 AM,Woodmark Custom,,Etsy,15.08,13.36,26.72,12.59,0.77,26.72,1,
4049539157,5/1/2026 12:34:15 AM,Woodmark Custom,,Etsy,5.62,7.60,26.16,16.19,2.09,25.88,1,
4044107104,5/1/2026 12:25:56 AM,Woodmark Custom,,Etsy,5.83,7.69,25.85,16.19,1.97,25.85,1,
4044113548,5/1/2026 12:45:00 AM,Woodmark Custom,,Etsy,5.97,8.13,25.90,16.19,1.58,25.90,1,
4037984243,5/1/2026 1:02:21 AM,Etched Elegance Shop,,Etsy,6.37,0.00,0.00,0.00,0.00,0.00,0,
4044119560,5/1/2026 1:03:15 AM,Devran Custom Design,,Etsy,6.65,6.65,54.49,44.76,3.08,54.49,2,
4044133524,5/1/2026 1:44:34 AM,Lumina Custom Design,,Etsy,10.80,0.00,24.94,23.04,1.90,24.94,2,
4049575437,5/1/2026 2:19:12 AM,Devran Custom Design,,Etsy,5.40,5.40,21.19,14.90,0.89,21.19,1,
4028626811,5/1/2026 3:03:53 AM,Devran Custom Design,,Etsy,7.13,18.85,87.00,41.60,4.92,65.37,1,
4044160370,5/1/2026 3:08:26 AM,Woodmark Custom,,Etsy,6.25,6.98,29.73,21.46,1.29,29.73,1,
4049592551,5/1/2026 3:16:00 AM,Devran Custom Design,,Etsy,5.48,5.48,25.81,18.36,1.97,25.81,1,
4044182412,5/1/2026 4:16:01 AM,YemlihaDesign,,Etsy,8.34,8.15,76.87,65.26,3.46,76.87,1,
4048935763,5/1/2026 5:06:18 AM,CuteArtCustomDesign,,Etsy,13.68,0.00,0.00,616.80,0.00,616.80,1,
4048935763,5/1/2026 5:07:43 AM,CuteArtCustomDesign,,Etsy,9.85,0.00,0.00,205.60,0.00,205.60,1,
4044215796,5/1/2026 5:48:05 AM,YemlihaDesign,,Etsy,6.98,7.38,30.96,21.55,2.03,30.96,1,
4044223216,5/1/2026 6:04:45 AM,YemlihaDesign,,Etsy,7.42,8.18,37.05,26.05,2.82,37.05,1,
4044220940,5/1/2026 5:59:48 AM,Custom Gift by FTM,,Etsy,6.66,0.00,20.93,19.47,1.46,20.93,1,
4044202528,5/1/2026 5:13:52 AM,Etched Elegance Shop,,Etsy,6.25,6.98,31.63,23.25,1.40,31.63,1,
4049629783,5/1/2026 5:06:41 AM,Etched Elegance Shop,,Etsy,6.39,8.51,29.53,19.35,1.67,29.53,1,
4049689895,5/1/2026 7:16:07 AM,YemlihaDesign,,Etsy,6.65,6.88,30.35,21.55,1.92,30.35,1,
4044271620,5/1/2026 7:27:44 AM,YemlihaDesign,,Etsy,6.98,7.38,30.81,21.55,1.88,30.81,1,
4049682071,5/1/2026 7:03:16 AM,Marbella Custom Gifts,,Etsy,7.90,8.06,36.75,27.00,1.69,36.75,1,
4044267366,5/1/2026 7:21:29 AM, Velvet Whiskey Design,,Etsy,7.42,7.42,19.10,11.02,0.66,19.10,1,
4044275002,5/1/2026 7:32:25 AM,Etched Elegance Shop,,Etsy,7.11,8.82,101.12,85.68,6.62,101.12,4,
4049793765,5/1/2026 9:24:10 AM, Velvet Whiskey Design,,Etsy,6.25,6.25,21.56,14.44,0.87,21.56,1,
4049723427,5/1/2026 8:04:10 AM, Velvet Whiskey Design,,Etsy,6.25,6.25,17.95,10.49,1.21,17.95,1,
4049773793,5/1/2026 9:03:06 AM,YemlihaDesign,,Etsy,13.96,39.02,431.11,366.35,25.74,431.11,17,
4049743703,5/1/2026 8:29:08 AM,YemlihaDesign,,Etsy,8.13,10.80,32.35,21.55,0.00,32.35,1,
4044351808,5/1/2026 9:03:32 AM,YemlihaDesign,,Etsy,7.38,11.24,58.14,43.10,3.80,58.14,2,
4049716335,5/1/2026 7:54:39 AM,Woodmark Custom,,Etsy,5.64,7.30,25.66,16.19,2.17,25.66,1,
4044297068,5/1/2026 8:01:08 AM,Woodmark Custom,,Etsy,5.40,6.98,25.37,16.19,2.20,25.37,1,
4044358214,5/1/2026 9:10:26 AM,Woodmark Custom,,Etsy,7.02,7.22,93.03,80.95,4.86,93.03,5,
4044347200,5/1/2026 8:58:33 AM,Woodmark Custom,,Etsy,6.25,6.98,34.21,24.70,2.53,34.21,1,
4044372114,5/1/2026 9:24:41 AM,Woodmark Custom,,Etsy,5.40,6.98,24.14,16.19,0.97,24.14,1,
4049772361,5/1/2026 9:01:21 AM,Woodmark Custom,,Etsy,5.48,7.42,21.34,12.59,1.33,21.34,1,
4044336672,5/1/2026 8:47:40 AM,Devran Custom Design,,Etsy,5.28,5.28,22.51,15.96,1.27,22.51,1,
4049758373,5/1/2026 8:46:13 AM,Etched Elegance Shop,,Etsy,6.25,7.38,27.90,19.35,1.17,27.90,1,
4044400016,5/1/2026 9:53:06 AM,Lumina Custom Design,,Etsy,0.00,0.00,15.88,14.40,1.48,15.88,1,
4044462488,5/1/2026 10:50:17 AM,SenaCustomStore,,Etsy,10.30,10.30,53.76,40.25,3.21,53.76,1,
4044457090,5/1/2026 10:45:33 AM, Velvet Whiskey Design,,Etsy,11.03,11.16,71.73,55.10,5.47,71.73,5,
4044417228,5/1/2026 10:10:03 AM,Woodmark Custom,,Etsy,5.40,6.98,20.74,12.59,1.17,20.74,1,
4044430904,5/1/2026 10:22:17 AM,Woodmark Custom,,Etsy,6.17,6.65,30.36,21.46,2.25,30.36,1,
4049861879,5/1/2026 10:30:14 AM,Woodmark Custom,,Etsy,5.28,6.65,20.25,12.59,1.01,20.25,1,
4044490388,5/1/2026 11:14:40 AM,Woodmark Custom,,Etsy,5.40,6.98,24.76,16.19,1.59,24.76,1,
4049929883,5/1/2026 11:37:15 AM,Devran Custom Design,,Etsy,5.40,5.40,17.70,11.10,1.20,17.70,1,
4049910601,5/1/2026 11:18:07 AM,Devran Custom Design,,Etsy,8.18,8.18,79.75,66.58,4.99,79.75,1,
4044517110,5/1/2026 11:39:27 AM,SenaCustomStore,,Etsy,18.52,18.48,30.24,11.76,0.00,30.24,1,
4049927987,5/1/2026 11:35:16 AM,Woodmark Custom,,Etsy,5.97,13.48,27.11,12.59,1.04,27.11,1,
4049948797,5/1/2026 11:55:11 AM,Woodmark Custom,,Etsy,5.40,6.98,25.02,16.19,1.85,25.02,1,
4044513406,5/1/2026 11:36:03 AM,Woodmark Custom,,Etsy,5.48,7.42,28.45,19.79,1.24,28.45,1,
4044539412,5/1/2026 11:59:39 AM,Woodmark Custom,,Etsy,5.40,6.98,24.15,16.19,0.98,24.15,1,
4044579902,5/1/2026 12:36:21 PM,YemlihaDesign,,Etsy,15.75,19.19,63.07,40.35,3.53,63.07,3,
